external_gene_name	entrezgene_id
EMSY	56946
PPP2R1A	5518
ETV1	2115
TCF3	6929
MIR4494	100616478
MET	4233
PMS2	5395
PMS1	5378
CEBPA	1050
PRPF40B	25766
CBLC	23624
POLE	5426
ANKRD49	54851
SOS1	6654
CBL	867
CTNNB1	1499
DNMT3A	1788
KDM5A	5927
TSPOAP1-AS1	100506779
STK11	6794
SPTA1	6708
FH	2271
ERCC1	2067
DNM2	1785
SMARCA4	6597
ETS1	2113
IGF2	3481
IKBKE	9641
MIR6769B	102466202
RAF1	5894
SF1	7536
HNF1A	6927
NCOR1	9611
KRAS	3845
LINC00299	339789
ZNF2	7549
BCL7A	605
ARID2	196528
ETV4	2118
EED	8726
CD28	940
CASP8	841
CXCR4	7852
ITPKB	3707
FANCL	55120
AXIN2	8313
TBL1XR1	79718
MAML2	84441
CTLA4	1493
KMT2A	4297
MDM4	4194
NF1	4763
ARID1A	8289
RANBP2	5903
NOTCH2	4853
BIRC3	330
BRCA1	672
CDK12	51755
SDHD	6392
MEN1	4221
CHEK1	1111
GID4	79018
EPCAM	4072
PRKCI	5584
PBRM1	55193
PRKAR1A	5573
TP53	7157
RAD51D	5892
REL	5966
SRSF2	6427
NFE2L2	4780
MLH1	4292
NBAS	51594
GATA2	2624
VHL	7428
MITF	4286
PRDM2	7799
MYCN	4613
PIK3C2B	5287
PAX8	7849
DDR2	4921
KIF1B	23095
ERBB4	2066
MSH2	4436
MSH6	2956
PIK3CD	5293
ERRFI1	54206
JAK1	3716
BCL10	8915
MTOR	2475
FUBP1	8880
RIT1	6016
SPEN	23013
ABL2	27
NTRK1	4914
JUN	3725
SDHB	6390
MUTYH	4595
CSF3R	1441
MYCL	4610
